opportunity_category,segment_count,transactions_2024,transactions_2025,transaction_value_2025,median_segment_price_growth_pct,aggregate_transaction_growth_pct,share_of_eligible_2025_transactions_pct
Priority,9,3658.0,4036.0,2736780459.76,8.628649376417252,10.33351558228539,16.822975282397564
Emerging,11,1083.0,1236.0,1018845354.76,6.0704487179487066,14.127423822714679,5.151931974490434
Established,35,17765.0,15226.0,9411028963.51,5.751715653602596,-14.29214748100197,63.46546621649786
Lower Priority,30,4244.0,3493.0,2573836234.48,5.93499206585113,-17.695570216776623,14.559626526614148
