town,flat_type,transactions_all_period,median_resale_price_all_period,median_price_per_sqm_all_period,transaction_value_all_period,transaction_value_billion_all_period,transactions_2025,median_price_per_sqm_2025,transaction_value_2025,transactions_2024,median_price_per_sqm_2024,transaction_growth_pct,price_growth_pct,segment,annual_sample_ok
PUNGGOL,2 ROOM,563,338888.0,7391.3,185228494.0,0.185228494,76.0,8417.689999999999,29391964.0,84.0,7872.34,-9.523809523809524,6.927419293373993,PUNGGOL — 2 ROOM,True
PUNGGOL,3 ROOM,1850,440000.0,6492.54,816678596.0,0.816678596,203.0,7983.65,110462135.0,259.0,7461.54,-21.62162162162162,6.997349072711523,PUNGGOL — 3 ROOM,True
PUNGGOL,4 ROOM,9170,530000.0,5706.52,4991252367.88,4.9912523678800005,775.0,7340.21,530611567.0,1005.0,6929.35,-22.885572139303477,5.929271865326458,PUNGGOL — 4 ROOM,True
PUNGGOL,5 ROOM,5429,615000.0,5517.24,3345052179.54,3.34505217954,456.0,6637.17,347105621.0,646.0,6452.445,-29.411764705882348,2.862868261565965,PUNGGOL — 5 ROOM,True
QUEENSTOWN,3 ROOM,2872,378000.0,5800.0,1235859429.76,1.23585942976,264.0,6616.165,136717797.88,338.0,6165.264999999999,-21.893491124260358,7.313554243004972,QUEENSTOWN — 3 ROOM,True
QUEENSTOWN,4 ROOM,2600,810000.0,8950.96,2111228325.0,2.111228325,250.0,10783.955,242815552.0,273.0,10054.35,-8.424908424908429,7.256610322895063,QUEENSTOWN — 4 ROOM,True
QUEENSTOWN,5 ROOM,836,907500.0,7812.3150000000005,789509709.88,0.78950970988,65.0,10454.55,77575208.0,69.0,8891.89,-5.797101449275366,17.57399158109243,QUEENSTOWN — 5 ROOM,True
SEMBAWANG,3 ROOM,552,460000.0,6838.24,248842040.0,0.24884204,113.0,7647.06,59559280.0,111.0,7132.35,1.8018018018018056,7.216555553218784,SEMBAWANG — 3 ROOM,True
SEMBAWANG,4 ROOM,3355,520000.0,5537.63,1680434764.88,1.6804347648800002,545.0,6720.43,342294739.0,485.0,6182.8,12.371134020618557,8.695574820469698,SEMBAWANG — 4 ROOM,True
SEMBAWANG,5 ROOM,2164,538000.0,4796.395,1178323792.0,1.178323792,325.0,5900.9,225885421.0,256.0,5454.55,26.953125,8.183076514102904,SEMBAWANG — 5 ROOM,True
SEMBAWANG,EXECUTIVE,746,552000.0,4165.395,435243167.0,0.435243167,77.0,5725.19,57614016.0,71.0,5294.12,8.450704225352123,8.142429714475675,SEMBAWANG — EXECUTIVE,True
SENGKANG,2 ROOM,515,330000.0,7040.17,164826500.0,0.1648265,90.0,8273.494999999999,34358328.0,65.0,7800.0,38.46153846153846,6.0704487179487066,SENGKANG — 2 ROOM,True
SENGKANG,3 ROOM,1395,418000.0,6102.94,592498505.0,0.592498505,153.0,7983.65,82881520.0,171.0,7313.43,-10.526315789473683,9.164236206540565,SENGKANG — 3 ROOM,True
SENGKANG,4 ROOM,9666,503000.0,5434.78,4995699495.75,4.99569949575,940.0,7000.0,619353598.99,1040.0,6630.43,-9.615384615384615,5.573846643430369,SENGKANG — 4 ROOM,True
SENGKANG,5 ROOM,6592,568000.0,5044.25,3809517111.88,3.80951711188,642.0,6208.110000000001,468956769.0,717.0,5830.87,-10.460251046025103,6.469703491931744,SENGKANG — 5 ROOM,True
SENGKANG,EXECUTIVE,1200,628000.0,4793.1,792882235.0,0.792882235,80.0,6382.3,66914568.0,125.0,5923.08,-36.0,7.7530609075008305,SENGKANG — EXECUTIVE,True
SERANGOON,3 ROOM,936,368000.0,5625.0,349225762.0,0.349225762,94.0,7159.015,43774828.0,96.0,6531.25,-2.083333333333337,9.611712918660299,SERANGOON — 3 ROOM,True
SERANGOON,4 ROOM,1858,525000.0,5684.945,1002800765.0,1.002800765,186.0,7085.62,126800027.0,197.0,6703.3,-5.58375634517766,5.703459490101892,SERANGOON — 4 ROOM,True
SERANGOON,5 ROOM,763,668000.0,5475.41,509973455.0,0.509973455,65.0,6611.57,54504992.0,88.0,6300.495,-26.136363636363637,4.937310481160595,SERANGOON — 5 ROOM,True
SERANGOON,EXECUTIVE,630,855000.0,5818.76,537725254.88,0.53772525488,56.0,7177.525,60166992.0,58.0,6621.0,-3.4482758620689613,8.405452348587827,SERANGOON — EXECUTIVE,True
TAMPINES,3 ROOM,3436,395000.0,5540.54,1400101435.0,1.400101435,352.0,6810.96,180242474.0,421.0,6333.33,-16.389548693586697,7.5415302850159405,TAMPINES — 3 ROOM,True
TAMPINES,4 ROOM,6892,535000.0,5376.34,3783768236.0,3.783768236,892.0,6652.17,611278658.0,867.0,6224.86,2.8835063437139485,6.864572054632556,TAMPINES — 4 ROOM,True
TAMPINES,5 ROOM,4460,645000.0,5211.1,2958694286.88,2.95869428688,509.0,6585.37,419692050.88,506.0,5893.445,0.5928853754940677,11.740586363324002,TAMPINES — 5 ROOM,True
TAMPINES,EXECUTIVE,1655,780000.0,5273.97,1312087235.0,1.312087235,154.0,6564.695,150672320.0,150.0,6232.635,2.6666666666666616,5.327762655762758,TAMPINES — EXECUTIVE,True
